Left,Satisfaction Level,Work Accident,Average Monthly Hours,Last Evaluation,Years in the Company,salary,Department,Number of Projects,Promoted in the last 5 years?,Date Hired
Yes,0.45,Yes,160,0.51,3,low,sales,2,Yes,2017-12-24T00:00:00Z
Yes,0.76,Yes,223,0.86,5,medium,product_mng,5,No,2015-12-06T00:00:00Z
Yes,0.14,Yes,158,0.62,4,low,technical,4,,2016-08-25T00:00:00Z
Yes,0.11,Yes,300,0.84,5,low,support,6,,2015-04-12T00:00:00Z
Yes,0.1,Yes,283,0.84,4,low,technical,6,,2016-02-26T00:00:00Z
Yes,0.84,Yes,263,0.88,5,low,marketing,4,,2015-10-09T00:00:00Z
Yes,0.92,Yes,226,0.87,6,medium,technical,4,,2014-06-20T00:00:00Z
Yes,0.11,Yes,266,0.81,4,medium,sales,6,,2016-05-30T00:00:00Z
Yes,0.88,Yes,232,0.88,5,medium,accounting,5,,2015-03-24T00:00:00Z
Yes,0.1,Yes,267,0.97,4,low,support,6,,2016-03-04T00:00:00Z
Yes,0.82,Yes,233,0.81,4,low,support,4,,2016-05-02T00:00:00Z
Yes,0.1,Yes,289,0.93,4,low,support,6,,2016-10-13T00:00:00Z
Yes,0.11,Yes,308,0.91,4,low,IT,6,,2016-06-17T00:00:00Z
Yes,0.41,Yes,153,0.54,3,low,sales,2,,2017-08-25T00:00:00Z
Yes,0.4,Yes,141,0.5,3,low,technical,2,,2017-02-03T00:00:00Z
Yes,0.42,Yes,154,0.57,3,medium,marketing,2,,2017-01-17T00:00:00Z
Yes,0.41,Yes,127,0.52,3,low,support,2,,2017-12-09T00:00:00Z
Yes,0.09,Yes,254,0.97,4,medium,RandD,7,,2016-01-16T00:00:00Z
Yes,0.42,Yes,143,0.54,3,low,sales,2,,2017-03-17T00:00:00Z
Yes,0.88,Yes,219,1,6,low,technical,5,,2014-02-26T00:00:00Z
Yes,0.41,Yes,144,0.45,3,low,product_mng,2,,2017-09-14T00:00:00Z
Yes,0.37,Yes,131,0.54,3,medium,hr,2,,2017-08-29T00:00:00Z
Yes,0.75,Yes,240,0.85,6,medium,marketing,5,,2014-06-16T00:00:00Z
Yes,0.45,Yes,154,0.45,3,medium,support,2,,2017-04-05T00:00:00Z
Yes,0.87,Yes,261,1,5,medium,technical,5,,2015-02-12T00:00:00Z
Yes,0.46,Yes,141,0.48,3,low,sales,2,,2017-01-13T00:00:00Z
Yes,0.37,Yes,138,0.47,3,medium,accounting,2,,2017-05-07T00:00:00Z
Yes,0.41,Yes,156,0.46,3,low,sales,2,,2017-03-27T00:00:00Z
Yes,0.45,Yes,153,0.46,3,medium,technical,2,,2017-09-22T00:00:00Z
Yes,0.1,Yes,243,0.92,4,low,sales,6,,2016-02-03T00:00:00Z
Yes,0.23,Yes,204,0.99,4,low,accounting,4,,2016-04-25T00:00:00Z
Yes,0.11,Yes,253,0.93,4,low,technical,6,,2016-10-11T00:00:00Z
Yes,0.1,Yes,253,0.92,4,low,support,7,,2016-09-30T00:00:00Z
Yes,0.8,Yes,218,0.97,5,medium,support,4,,2015-04-12T00:00:00Z
Yes,0.11,Yes,300,0.78,4,low,RandD,6,,2016-10-08T00:00:00Z
Yes,0.1,Yes,301,0.81,4,medium,sales,6,,2016-10-18T00:00:00Z
Yes,0.38,Yes,152,0.57,3,low,hr,2,,2017-01-19T00:00:00Z
Yes,0.43,Yes,131,0.57,3,medium,support,2,,2017-04-30T00:00:00Z
Yes,0.3,Yes,309,0.56,4,low,technical,3,,2016-11-25T00:00:00Z
Yes,0.44,Yes,127,0.49,3,low,sales,2,,2017-08-07T00:00:00Z
Yes,0.11,Yes,304,0.82,4,low,accounting,6,,2016-12-06T00:00:00Z
Yes,0.1,Yes,254,0.96,4,medium,sales,6,No,2016-09-05T00:00:00Z
Yes,0.1,Yes,262,0.91,5,low,technical,6,No,2015-07-21T00:00:00Z
Yes,0.46,Yes,143,0.53,3,low,technical,2,No,2017-10-28T00:00:00Z
Yes,0.73,Yes,270,0.83,5,medium,support,5,No,2015-09-16T00:00:00Z
Yes,0.38,Yes,150,0.5,3,medium,support,2,No,2017-01-28T00:00:00Z
Yes,0.44,Yes,130,0.55,3,low,product_mng,2,No,2017-12-31T00:00:00Z
Yes,0.11,Yes,137,0.55,3,low,RandD,2,No,2017-10-04T00:00:00Z
